key,case_name,scenario,polarization,pos_id,x_m,y_m,label,valid_flag,valid_for_model,fp_energy_db,skewness_pdp,kurtosis_pdp,mean_excess_delay_ns,rms_delay_spread_ns,all_features_valid,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,label_cp7,label_match,valid_for_cp7_model
C|4.500|0.750,CP_caseC,C,CP,41,4.5,0.75,1,1,1,-72.5607024160985,3.66619332935676,23.5386371903746,3.92747827967416,5.13468272936434,1,0.607571510053505,0.0766259230246619,0.290777092857332,0.118437446837473,0.422949487006762,0.0666706745091722,1,1,1
C|5.250|0.750,CP_caseC,C,CP,42,5.25,0.75,1,1,1,-69.154775816005,2.71704702082188,10.9065992287896,3.11274567169996,3.44695289109574,1,1.15829644269587,1.072004495137,0.412576367480277,0.185526115964529,0.360226372392876,0.0927423361675972,1,1,1
C|0.750|1.250,CP_caseC,C,CP,43,0.75,1.25,1,1,1,-70.3097139222292,4.79683410370936,42.7559352233821,5.36522599256444,7.17621992532619,1,1.32466422292908,-0.0458382039475651,0.292070636240475,0.25133222222912,0.316540301317614,0.350003944600898,1,1,1
C|1.500|1.250,CP_caseC,C,CP,44,1.5,1.25,1,1,1,-71.5423594803466,3.6127996490079,24.2042065734221,5.49978089494131,6.37117394496174,1,1.87238442608752,-0.209968549322467,0.318807465939872,0.0835669960753305,0.293434397306062,0.205864671156562,1,1,1
C|2.250|1.250,CP_caseC,C,CP,45,2.25,1.25,1,1,1,-67.5228384499093,5.48066481027388,45.5050643016219,2.43273016161542,3.12724110083973,1,1.40012258460795,-0.128007426454993,0.36471011252303,0.0594429707509003,0.369063568687047,0.325172492142473,1,1,1
C|3.000|1.250,CP_caseC,C,CP,46,3,1.25,0,1,1,-70.4392926478498,5.12477031116619,56.8612853448198,3.9086672600427,4.71706795631886,1,1.37589633328606,0.448920313377573,0.40454786121944,0.169869949477323,0.205666506902643,0.0932968448287385,0,1,1
C|3.750|1.250,CP_caseC,C,CP,47,3.75,1.25,0,1,1,-70.4573156908037,3.69635674484977,20.5027046100115,4.11752536370699,5.41660649513342,1,1.28849944253786,0.569763775708884,0.323679192194509,0.0858277888450827,0.192206024008683,0.0239105806047351,0,1,1
C|4.500|1.250,CP_caseC,C,CP,48,4.5,1.25,0,1,1,-69.7793308866018,5.47803053058867,40.7870387470453,3.23169719168792,4.52190393636687,1,0.809436070556117,0.71292504627442,0.398480970991875,0.198889030938903,0.323522007723551,0.0521101889661333,0,1,1
C|5.250|1.250,CP_caseC,C,CP,49,5.25,1.25,0,1,1,-79.1083217766392,2.10274516125902,9.54095622800549,8.05295172402535,8.44993228687502,1,-0.639932291488065,0.463690880773696,0.0934020728623139,0.022240046333195,0.106806948415736,0.0850897979361112,0,1,1
C|0.750|1.750,CP_caseC,C,CP,50,0.75,1.75,1,1,1,-73.2240165693738,3.90297659895635,27.2647962454066,5.8394609046182,7.26269968333351,1,0.274344848918001,-0.180099120919538,0.357365423100802,0.310027905505098,0.222918211902526,0.220586901383436,1,1,1
C|1.500|1.750,CP_caseC,C,CP,51,1.5,1.75,0,1,1,-92.1111161114243,1.37047292654378,4.27581821993031,12.2442560039579,12.0756973074474,1,-0.334889396599309,0.867972376927879,0.120611088369975,0.205475665245329,0.116799041919953,0.030790773555563,0,1,1
C|2.250|1.750,CP_caseC,C,CP,52,2.25,1.75,0,1,1,-75.255641512563,3.74098490551177,20.801662926773,4.19191201515501,6.35024985718212,1,1.51160543615932,-0.998242849158153,0.340728962824312,0.0527313609117197,0.0523660944534406,0.0252309635866451,0,1,1
C|3.000|1.750,CP_caseC,C,CP,53,3,1.75,0,1,1,-72.5226314454345,4.36805656202571,33.4776454923616,4.43679778564703,6.03124088517314,1,1.76436975258727,0.112041536946409,0.369417777500913,0.0325465548303402,0.187684751521643,0.0159600327863778,0,1,1
C|3.750|1.750,CP_caseC,C,CP,54,3.75,1.75,0,1,1,-72.2216598353419,3.88962787067168,23.301885113477,3.71638951913876,4.45744500699898,1,1.03333764101386,0.277637289669427,0.280384091991124,0.0742665356569819,0.158653266533246,0.0749983413485879,0,1,1
C|4.500|1.750,CP_caseC,C,CP,55,4.5,1.75,0,1,1,-72.0584583310138,4.46199949010749,31.8030548431736,4.24457641073546,5.92139982381836,1,1.43353585422196,0.952846961466523,0.318286648431144,0.11215144161732,0.296821461295725,0.0880075179794718,0,1,1
C|5.250|1.750,CP_caseC,C,CP,56,5.25,1.75,0,1,1,-77.2668287889044,3.31767031937049,15.8017802807528,5.37097193662205,8.21895643397532,1,0.0622035148787588,0.156801075918512,0.272954661312297,0.167623039532769,0.195279377718639,0.0655941137709818,0,1,1
